Region,Workload,Filename,TCP Connection Time,TLS Handshake Time,Total Connection Time,Time to First Byte,Download Time,Total Time,TLS Version
India,WEB,sample.jpg,0:00:00.000032,0:00:00.000633,0:00:00.000913,0:00:00.000899,0:00:00.006682,0:00:00.007589,1.3
India,WEB,sample.jpg,0:00:00.000027,0:00:00.000476,0:00:00.000733,0:00:00.000718,0:00:00.005566,0:00:00.006295,1.3
India,WEB,sample.json,0:00:00.000032,0:00:00.000421,0:00:00.000703,0:00:00.000688,0:00:00.005783,0:00:00.006479,1.3
India,WEB,index.html,0:00:00.000031,0:00:00.000413,0:00:00.000666,0:00:00.000649,0:00:00.003633,0:00:00.004308,1.3
India,WEB,sample.jpg,0:00:00.000031,0:00:00.000427,0:00:00.000703,0:00:00.000685,0:00:00.007737,0:00:00.008428,1.3
India,WEB,sample.jpg,0:00:00.000033,0:00:00.000805,0:00:00.001064,0:00:00.001048,0:00:00.007231,0:00:00.008298,1.3
India,WEB,sample.jpg,0:00:00.000031,0:00:00.000846,0:00:00.001538,0:00:00.001522,0:00:00.006182,0:00:00.007724,1.3
India,WEB,sample.jpg,0:00:00.000034,0:00:00.000521,0:00:00.000814,0:00:00.000800,0:00:00.006642,0:00:00.007453,1.3
India,WEB,sample.json,0:00:00.000030,0:00:00.000513,0:00:00.000798,0:00:00.000781,0:00:00.004226,0:00:00.005318,1.3
India,WEB,sample.png,0:00:00.000020,0:00:00.001404,0:00:00.005396,0:00:00.004989,0:00:00.013096,0:00:00.018268,1.3
India,WEB,sample.json,0:00:00.000299,0:00:00.000410,0:00:00.000984,0:00:00.000967,0:00:00.008221,0:00:00.009349,1.3
India,WEB,index.html,0:00:00.000029,0:00:00.000456,0:00:00.000714,0:00:00.000699,0:00:00.004669,0:00:00.005374,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.000413,0:00:00.000708,0:00:00.000696,0:00:00.003764,0:00:00.004479,1.3
India,WEB,sample.pdf,0:00:00.000031,0:00:00.000525,0:00:00.000779,0:00:00.000760,0:00:00.003080,0:00:00.003850,1.3
India,WEB,sample.json,0:00:00.000018,0:00:00.000527,0:00:00.001248,0:00:00.001231,0:00:00.004445,0:00:00.005682,1.3
India,WEB,sample.png,0:00:00.000030,0:00:00.000408,0:00:00.000655,0:00:00.000643,0:00:00.007613,0:00:00.008265,1.3
India,WEB,sample.csv,0:00:00.000031,0:00:00.000446,0:00:00.000742,0:00:00.000728,0:00:00.006559,0:00:00.007319,1.3
India,WEB,sample.png,0:00:00.000031,0:00:00.000418,0:00:00.000691,0:00:00.000677,0:00:00.007474,0:00:00.008158,1.3
India,WEB,index.html,0:00:00.000031,0:00:00.000425,0:00:00.000709,0:00:00.000695,0:00:00.004944,0:00:00.005651,1.3
India,WEB,sample.pdf,0:00:00.000020,0:00:00.000662,0:00:00.000912,0:00:00.000898,0:00:00.005238,0:00:00.006144,1.3
India,WEB,sample.csv,0:00:00.000030,0:00:00.000424,0:00:00.000703,0:00:00.000692,0:00:00.004433,0:00:00.005134,1.3
India,WEB,sample.jpg,0:00:00.000045,0:00:00.000511,0:00:00.000792,0:00:00.000774,0:00:00.005647,0:00:00.006429,1.3
India,WEB,sample.json,0:00:00.000030,0:00:00.000458,0:00:00.000726,0:00:00.000709,0:00:00.003261,0:00:00.003979,1.3
India,WEB,sample.csv,0:00:00.000031,0:00:00.000764,0:00:00.001054,0:00:00.001042,0:00:00.004888,0:00:00.005956,1.3
India,WEB,index.html,0:00:00.000032,0:00:00.000522,0:00:00.001577,0:00:00.001560,0:00:00.003784,0:00:00.005353,1.3
India,WEB,sample.pdf,0:00:00.000027,0:00:00.000429,0:00:00.000703,0:00:00.000686,0:00:00.004497,0:00:00.005192,1.3
India,WEB,sample.json,0:00:00.000031,0:00:00.000478,0:00:00.001393,0:00:00.001376,0:00:00.003534,0:00:00.004923,1.3
India,WEB,sample.png,0:00:00.000030,0:00:00.000595,0:00:00.000867,0:00:00.000853,0:00:00.006876,0:00:00.007748,1.3
India,WEB,sample.png,0:00:00.000033,0:00:00.000806,0:00:00.001084,0:00:00.001074,0:00:00.008866,0:00:00.009976,1.3
India,WEB,sample.csv,0:00:00.000032,0:00:00.000458,0:00:00.000736,0:00:00.000719,0:00:00.003422,0:00:00.004147,1.3
India,WEB,index.html,0:00:00.000030,0:00:00.002313,0:00:00.002604,0:00:00.002589,0:00:00.004477,0:00:00.007088,1.3
India,WEB,sample.jpg,0:00:00.000027,0:00:00.000609,0:00:00.000866,0:00:00.000852,0:00:00.012483,0:00:00.013343,1.3
