Region,Workload,Filename,Total Connection Time,Time to First Byte,Download Time,Total Time
India,WEB,sample.json,0:00:00.000757,0:00:00.000818,0:00:00.003992,0:00:00.004810
India,WEB,sample.csv,0:00:00.000873,0:00:00.000900,0:00:03.468479,0:00:03.469379
India,WEB,sample.pdf,0:00:00.001153,0:00:00.001204,0:00:03.592174,0:00:03.593378
India,WEB,sample.png,0:00:00.000899,0:00:00.000938,0:00:03.434506,0:00:03.435444
India,WEB,index.html,0:00:00.000726,0:00:00.000790,0:00:00.003884,0:00:00.004674
India,WEB,index.html,0:00:00.000781,0:00:00.000861,0:00:00.003385,0:00:00.004246
India,WEB,sample.png,0:00:00.000799,0:00:00.000862,0:00:03.456242,0:00:03.457104
India,WEB,sample.jpg,0:00:00.002535,0:00:00.002541,0:00:03.864024,0:00:03.866565
India,WEB,sample.json,0:00:00.000623,0:00:00.000650,0:00:03.507230,0:00:03.507880
India,WEB,index.html,0:00:00.001016,0:00:00.001042,0:00:03.473371,0:00:03.474413
India,WEB,index.html,0:00:00.001329,0:00:00.001356,0:00:03.741720,0:00:03.743076
India,WEB,sample.jpg,0:00:00.001314,0:00:00.001366,0:00:03.576004,0:00:03.577370
India,WEB,sample.json,0:00:00.000911,0:00:00.000919,0:00:03.406146,0:00:03.407065
India,WEB,sample.json,0:00:00.000923,0:00:00.000951,0:00:03.651857,0:00:03.652808
India,WEB,sample.pdf,0:00:00.000860,0:00:00.000907,0:00:03.565941,0:00:03.566848
India,WEB,sample.csv,0:00:00.001237,0:00:00.001254,0:00:03.583703,0:00:03.584957
India,WEB,index.html,0:00:00.000775,0:00:00.000801,0:00:03.440530,0:00:03.441331
India,WEB,sample.csv,0:00:00.003353,0:00:00.003406,0:00:00.005321,0:00:00.008727
India,WEB,index.html,0:00:00.000846,0:00:00.000954,0:00:00.004091,0:00:00.005045
India,WEB,sample.pdf,0:00:00.001259,0:00:00.001288,0:00:00.006948,0:00:00.008236
India,WEB,index.html,0:00:00.000866,0:00:00.001034,0:00:03.559304,0:00:03.560338
India,WEB,index.html,0:00:00.000842,0:00:00.000917,0:00:03.400785,0:00:03.401702
India,WEB,sample.csv,0:00:00.002570,0:00:00.002854,0:00:00.004260,0:00:00.007114
India,WEB,sample.png,0:00:00.000686,0:00:00.000714,0:00:03.422164,0:00:03.422878
India,WEB,sample.json,0:00:00.000631,0:00:00.000656,0:00:04.003436,0:00:04.004092
India,WEB,sample.pdf,0:00:00.001258,0:00:00.001480,0:00:00.003026,0:00:00.004506
India,WEB,sample.pdf,0:00:00.001920,0:00:00.002002,0:00:00.005504,0:00:00.007506
India,WEB,sample.jpg,0:00:00.001181,0:00:00.001241,0:00:03.860940,0:00:03.862181
India,WEB,index.html,0:00:00.000804,0:00:00.000840,0:00:00.005643,0:00:00.006483
India,WEB,sample.jpg,0:00:00.001231,0:00:00.001321,0:00:03.457545,0:00:03.458866
India,WEB,sample.pdf,0:00:00.000812,0:00:00.000818,0:00:00.008738,0:00:00.009556
India,WEB,index.html,0:00:00.000812,0:00:00.001052,0:00:03.382993,0:00:03.384045
India,WEB,sample.json,0:00:00.000795,0:00:00.000850,0:00:03.365588,0:00:03.366438
India,WEB,sample.pdf,0:00:00.001450,0:00:00.001632,0:00:00.002772,0:00:00.004404
India,WEB,sample.csv,0:00:00.000751,0:00:00.000778,0:00:00.010094,0:00:00.010872
India,WEB,sample.csv,0:00:00.001227,0:00:00.001234,0:00:00.003401,0:00:00.004635
India,WEB,sample.csv,0:00:00.001255,0:00:00.001337,0:00:03.591338,0:00:03.592675
India,WEB,sample.jpg,0:00:00.003692,0:00:00.003890,0:00:00.012089,0:00:00.015979
India,WEB,sample.png,0:00:00.001795,0:00:00.001848,0:00:03.671856,0:00:03.673704
India,WEB,sample.png,0:00:00.003158,0:00:00.003338,0:00:00.015888,0:00:00.019226
India,WEB,index.html,0:00:00.000994,0:00:00.001022,0:00:00.004729,0:00:00.005751
India,WEB,index.html,0:00:00.001241,0:00:00.001250,0:00:00.003838,0:00:00.005088
India,WEB,index.html,0:00:00.000784,0:00:00.000843,0:00:03.482075,0:00:03.482918
India,WEB,sample.json,0:00:00.000942,0:00:00.000947,0:00:00.003156,0:00:00.004103
India,WEB,sample.csv,0:00:00.000807,0:00:00.000861,0:00:00.005482,0:00:00.006343
India,WEB,sample.pdf,0:00:00.000764,0:00:00.000792,0:00:00.004954,0:00:00.005746
India,WEB,index.html,0:00:00.000812,0:00:00.000867,0:00:03.365085,0:00:03.365952
India,WEB,index.html,0:00:00.000848,0:00:00.000899,0:00:03.392879,0:00:03.393778
India,WEB,sample.jpg,0:00:00.001261,0:00:00.001416,0:00:00.010304,0:00:00.011720
India,WEB,index.html,0:00:00.000933,0:00:00.000981,0:00:00.006091,0:00:00.007072
India,WEB,sample.jpg,0:00:00.001844,0:00:00.002064,0:00:04.118980,0:00:04.121044
India,WEB,sample.csv,0:00:00.000824,0:00:00.000882,0:00:00.003018,0:00:00.003900
India,WEB,sample.csv,0:00:00.000997,0:00:00.001047,0:00:00.003992,0:00:00.005039
India,WEB,sample.csv,0:00:00.000959,0:00:00.000986,0:00:04.081088,0:00:04.082074
India,WEB,sample.png,0:00:00.000967,0:00:00.001132,0:00:03.791650,0:00:03.792782
India,WEB,sample.jpg,0:00:00.000812,0:00:00.000817,0:00:03.395929,0:00:03.396746
India,WEB,sample.jpg,0:00:00.000725,0:00:00.000752,0:00:03.407741,0:00:03.408493
India,WEB,sample.jpg,0:00:00.000813,0:00:00.000843,0:00:03.848393,0:00:03.849236
India,WEB,index.html,0:00:00.002375,0:00:00.002381,0:00:03.503905,0:00:03.506286
India,WEB,sample.pdf,0:00:00.001869,0:00:00.001895,0:00:00.005424,0:00:00.007319
India,WEB,sample.csv,0:00:00.002500,0:00:00.002645,0:00:03.627034,0:00:03.629679
India,WEB,index.html,0:00:00.001758,0:00:00.001764,0:00:00.006260,0:00:00.008024
India,WEB,sample.jpg,0:00:00.000858,0:00:00.000962,0:00:03.413329,0:00:03.414291
India,WEB,sample.csv,0:00:00.001346,0:00:00.001396,0:00:03.518403,0:00:03.519799
India,WEB,sample.png,0:00:00.000700,0:00:00.000746,0:00:03.419264,0:00:03.420010
India,WEB,index.html,0:00:00.001897,0:00:00.001924,0:00:03.398249,0:00:03.400173
India,WEB,sample.pdf,0:00:00.000796,0:00:00.000838,0:00:00.003415,0:00:00.004253
India,WEB,sample.png,0:00:00.000686,0:00:00.000734,0:00:00.012806,0:00:00.013540
India,WEB,sample.png,0:00:00.001044,0:00:00.001070,0:00:00.008493,0:00:00.009563
India,WEB,sample.csv,0:00:00.001370,0:00:00.001377,0:00:00.004574,0:00:00.005951
India,WEB,sample.png,0:00:00.000683,0:00:00.000710,0:00:03.387565,0:00:03.388275
India,WEB,sample.json,0:00:00.000851,0:00:00.000905,0:00:00.004500,0:00:00.005405
India,WEB,sample.csv,0:00:00.000777,0:00:00.000826,0:00:03.385097,0:00:03.385923
India,WEB,sample.csv,0:00:00.003046,0:00:00.003232,0:00:00.007033,0:00:00.010265
India,WEB,sample.png,0:00:00.002519,0:00:00.002576,0:00:03.595201,0:00:03.597777
India,WEB,sample.csv,0:00:00.003702,0:00:00.003765,0:00:02.070919,0:00:02.074684
India,WEB,sample.pdf,0:00:00.000768,0:00:00.000794,0:00:00.003466,0:00:00.004260
India,WEB,sample.png,0:00:00.000758,0:00:00.000821,0:00:03.466013,0:00:03.466834
